127.0.0.1 - - [29/Aug/2023:16:38:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:38:33 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:38:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:39:55 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:40:04 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:45:21 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:46:05 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:48:13 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:48:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:48:26 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:56:05 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:56:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:57:19 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:57:19 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:59:06 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:59:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2023:16:59:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [29/Aug/2023:17:00:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 369
