127.0.0.1 - - [04/Sep/2023:12:50:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:44 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:44 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:48 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:52 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:50:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:02 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:06 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:08 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [04/Sep/2023:12:51:25 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4078
